Admin,pairs_n,points_n,ph_variogram_mean,ph_vario_sd,log_SOC_variogram_mean,log_SOC_vario_sd
10408001,3,2,0.19831361308403694,2.711077472920094e-4,0.20406750679350996,5.8361940940748466e-5
10408003,1,1,0.19930060929768192,NA,0.20428122498457774,NA
10408004,1,1,0.1986400455521595,NA,0.20413792895362132,NA
10408007,1,1,0.19843175048967632,NA,0.20409291161110052,NA
10409001,6,3,0.19838212775188807,3.0806350593825556e-4,0.20408230240116287,6.650975860674831e-5
10409003,1,1,0.2038454743787116,NA,0.2052806456973953,NA
10410901,18915,194,0.25358828607752404,0.03651858826326426,0.2172413197843974,0.009112490115505524
10411901,1485,54,0.2252362710945805,0.019753062977781285,0.21025085246252084,0.004659174753792067
10501001,6,3,0.19956898948151905,0.0011794256562824412,0.20434040234244127,2.5718010425196034e-4
10501003,3,2,0.20008248044149787,0.0017218130371022735,0.20445276555549308,3.7698614580822443e-4
10501005,1,1,0.20466665478160304,NA,0.20546310894596098,NA
10501006,1,1,0.19811404924799728,NA,0.20402446733120372,NA
10501007,10,4,0.19863270921960352,4.3927885687216706e-4,0.20413652736855503,9.501324910133294e-5
10501010,1,1,0.19822944251861002,NA,0.20404929011786405,NA
10501011,3,2,0.20066121988556732,0.002140585339388232,0.20457995351569083,4.68745069626933e-4
10501012,1,1,0.19810086321365925,NA,0.2040216343074925,NA
10501013,3,2,0.1994341229734216,0.0012038791938460078,0.20431103897091543,2.6129884711219254e-4
10501016,3,2,0.19935526590563124,9.739731201249044e-4,0.20429354797171848,2.121499789538964e-4
10501021,3,2,0.2015986619290743,0.0020960692915561016,0.20478548233660315,4.6132654361022315e-4
10501022,1,1,0.19921526600611683,NA,0.2042626719993412,NA
10501023,3,2,0.20010930707783317,0.0013922863659979376,0.20445825925163386,3.0452561589346615e-4
10501027,1,1,0.19916940459718288,NA,0.20425270654919656,NA
10501028,21,6,0.20026229327452288,0.0014648434000311152,0.20449213846811418,3.205078062018328e-4
10501029,10,4,0.19912547338785988,6.376598773114614e-4,0.20424347561472248,1.382808437214977e-4
10501032,6,3,0.19868533585082346,6.458234011085045e-4,0.2041480494684469,1.400603284286059e-4
10501034,1,1,0.19888284812630888,NA,0.20419051423159887,NA
10501035,6,3,0.19932999316644562,9.790078204407668e-4,0.20428820027696365,2.1308956935111112e-4
10501036,3,2,0.19853396008440113,4.5122756913218513e-4,0.2041151342858186,9.75996045751532e-5
10501038,1,1,0.19886329256629265,NA,0.20418627498707562,NA
10501040,6,3,0.19905593004284072,7.13494592476929e-4,0.20422842416023493,1.5477941523211295e-4
10501041,6,3,0.20219774707023822,0.003851201946113761,0.20492132965915777,8.531459610940447e-4
10501042,1,1,0.1983191851687277,NA,0.204068626292549,NA
10501046,3,2,0.20132374956374013,0.002689554228317383,0.2047259886092023,5.915546950824555e-4
10501047,6,3,0.2000350271479281,0.0018120824049626136,0.2044428673798997,3.9671352109418937e-4
10501049,6,3,0.19909402192155626,6.836066365722584e-4,0.20423667687411526,1.4816798243219237e-4
10501052,1,1,0.1984681671752361,NA,0.20410077508494573,NA
10501054,10,4,0.19972613103113732,0.0015919310093318925,0.20437523516217454,3.486447703529953e-4
10501056,1,1,0.1982176404352622,NA,0.20404674908455325,NA
10501059,1,1,0.20060685875927292,NA,0.20456637032718053,NA
10502002,1,1,0.19874678419633038,NA,0.20416103248183076,NA
10502004,28,7,0.19896600313474416,7.316334925716742e-4,0.20420897374696606,1.5888549984663126e-4
10502006,6,3,0.20058743867222528,0.001564505021355184,0.2045631779533752,3.432833424405475e-4
10502008,10,4,0.20100175154727506,0.0024360670482533354,0.2046556403810332,5.352806044625307e-4
10502009,10,4,0.19842628641475188,3.499117510191329e-4,0.20409186469221402,7.559845605136359e-5
10502011,3,2,0.20100787578583673,0.00255947620102267,0.2046567082673859,5.601159966684554e-4
10502012,1,1,0.20008712865433784,NA,0.20445267138916695,NA
10502013,3,2,0.19888194909221826,6.736248858188371e-4,0.20419059840062437,1.4592083213709308e-4
10502014,6,3,0.20086948407898036,0.002229029242656739,0.2046259778781876,4.903628690289848e-4
10502015,1,1,0.19955889520999745,NA,0.204337437451532,NA
10502017,6,3,0.19958861577632916,0.001395926444012405,0.20434492396306186,3.050887729522842e-4
10502022,15,5,0.20168780340303136,0.0027030475890195585,0.20480664698061724,5.988944699932049e-4
10502023,15,5,0.20072994142580594,0.003662054718662613,0.20459965171588815,8.060255649113768e-4
10502024,1,1,0.2005531693339212,NA,0.20455461120687382,NA
10502027,276,23,0.2067671686548147,0.007566956475487168,0.20594957033339586,0.0017138740736625077
10502028,15,5,0.2009850721907227,0.0020048543643386356,0.20465111855779144,4.4105547826883354e-4
10502029,1,1,0.1984486412390986,NA,0.20409655844719873,NA
10502030,3,2,0.19908905918754177,9.242561221245995e-4,0.20423577078897315,2.0021363711418896e-4
10502031,1,1,0.19891422671286677,NA,0.20419731784656783,NA
10502032,10,4,0.2032567134049827,0.004345053658091461,0.2051573376920168,9.60214592293429e-4
10502033,6,3,0.20017862482108834,0.0019863231107796436,0.20447448586519773,4.3542291372828003e-4
10502035,36,8,0.20448509451673652,0.004882147599837985,0.20543116254956081,0.0010886881351035967
10502037,6,3,0.19930524068830746,0.0011564780744341473,0.204283041335403,2.5176093611269405e-4
10502040,1,1,0.19908780255216882,NA,0.20423498278678723,NA
10502041,3,2,0.19888959951104088,4.884011547284904e-4,0.20419211117234362,1.059794500831148e-4
10502042,3,2,0.19973125541280976,4.781600865421445e-4,0.20437509562179196,1.0428880239768142e-4
10502043,36,8,0.19997483294092028,0.0015010745767035515,0.20442938671650235,3.2894971911085657e-4
10502044,6,3,0.20154375896818985,0.0024588339068914223,0.20477455612293843,5.398701196435794e-4
10502045,10,4,0.20082748790246666,0.0024046746111766664,0.20461749072170896,5.274015532751008e-4
10502046,6,3,0.1996135612827512,0.0012899446046102554,0.20435030879342633,2.8087701403401377e-4
10502047,1,1,0.19876544686754666,NA,0.20416507424100358,NA
10502051,3,2,0.19900512904048065,7.53143904342326e-4,0.2042173459013549,1.635028101155174e-4
10502052,10,4,0.19966704829160167,9.227614359196268e-4,0.20436155916492516,2.0060576365163438e-4
10502053,1,1,0.19847370618669444,NA,0.20410197140053632,NA
10502054,3,2,0.20119896931112582,0.0024797066761997944,0.20469828600252457,5.44714794224228e-4
10502057,1,1,0.1983863828879641,NA,0.20408311987595995,NA
10502058,3,2,0.19968135813647653,0.0013918563507518845,0.20436508045199464,3.0242654294530586e-4
10502059,6,3,0.19867696364584714,4.895501388462709e-4,0.20414611038719332,1.0601933793965468e-4
10502061,1,1,0.19804377763238384,NA,0.20400938018753736,NA
10502063,3,2,0.20173407366759766,0.0029279486603735923,0.2048164466623957,6.462016609272794e-4
10502065,10,4,0.19963920798168908,0.0013956026973388307,0.2043560377208525,0.00030490169178661063
10502066,6,3,0.1984637961628139,2.7382278702307e-4,0.20409990466337202,5.914356874638416e-5
10502067,6,3,0.19879242184008744,7.94789336120791e-4,0.20417141576033915,1.7219878365343566e-4
10502068,10,4,0.2001509898271056,0.0015962221599868601,0.2044679742558351,3.490353752746272e-4
10502070,6,3,0.20157841325447562,0.001923266342150205,0.20478116957562675,4.225448553560231e-4
10502071,3,2,0.19986661564777206,0.0014465673346907573,0.2044053836836616,3.15863987294926e-4
10502072,6,3,0.19938878403582994,0.001141899224572013,0.20430114836364183,2.488895539610938e-4
10502901,1,1,0.20017369726959944,NA,0.20447158852613914,NA
10502902,1,1,0.19877276642680167,NA,0.20416665960821231,NA
10502903,10,4,0.20222677310281792,0.0028417506506978603,0.20492566789942265,6.27711300741492e-4
